molecules,label
COc1cccc(Cl)c1,193.5
CCC(C)(C)O,102.4
FC(Cl)(Cl)CCl,88.0
BrCCCCBr,197.0
Cc1ccc2c(c1)CCC2,202.0
FC(F)(F)COCC(F)(F)F,63.9
CC(=O)c1ccccc1O,218.0
Cc1ccccc1,110.6
FC(Cl)=C(Cl)Cl,71.0
O=C(Cl)c1ccco1,173.0
C1=COCC1,54.5
CC1=CCC(O)(C(C)C)CC1,209.0
C=C(C)C(C)CCC,110.5
C=C(C)C(C)C,55.6
CCCCCCI,181.0
CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,332.0
CCCCCN(CCCCC)CCCCC,242.5
Cc1ccc[nH]1,147.0
CCCCOC(=O)c1ccccc1C(=O)OCCCC,340.0
O=S=Nc1ccccc1,200.0
Oc1cc(Cl)cc(Cl)c1,233.0
CCOC(=O)NC,170.0
CCC(CC(C)C)C(C)C,154.1
FCI,53.4
COc1ccc(OC)cc1,212.6
CCCCCC[Si](Cl)(Cl)Cl,190.0
CC(OP(C)(=O)F)C(C)(C)C,198.0
O=C1CCCCC1,155.4
Nc1ccc(F)cc1F,170.0
FC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,52.0
CCCCCCO,157.6
c1ccc(-c2cccnc2)cc1,272.0
CCCCCCC(C)C,143.2
C=C1CCC(C)CC1,122.0
CC(Cl)CCCl,134.0
CCCCOC(=O)/C=C\C(=O)OCCCC,281.0
CC(O)c1ccccc1,205.0
CC1=CCCC1,75.5
Fc1cc(F)c(F)cc1F,90.2
CCOC(=O)C(C)C(=O)OCC,201.0
CCC(C)c1cccc(C(C)CC)c1O,257.5
CCNCCO,169.5
CC1CO1,35.0
CC(=O)c1cccs1,213.5
O=C1CCc2ccccc21,243.0
CC(C)(C)[N+](=O)[O-],127.16
CCC(CC)CC(C)(C)C,147.0
Cc1cccc2c1CCCC2C,239.0
C=CCCCCCCCCO,236.0
CC(C)C1CC=C(C=O)CC1,223.0
CCCCCCC(C)=O,172.5
CCCCCCCO,176.4
C=C[Si](C)(C)C,55.0
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,80.0
CC(=O)C(c1ccccc1)c1ccccc1,307.0
CCC(C)(CC)CC(C)C,161.1
O=P(OCCCl)(OCCCl)OCCCl,330.0
O=Cc1ccccc1,179.0
Oc1ccc(Br)cc1,238.0
CCCSCCC,142.9
