molecules,pkb
CN(C)CCCC(=O)Oc1cccc([N+](=O)[O-])c1,9.82
CC(O)CN(CCCN1CCOCC1)CC(C)O,8.4
COc1cccnn1,2.52
Nc1nc2c(o1)CCCC2,5.75
CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O,9.77
CCCC(=N)CC(=O)c1ccccc1,-1.12
CCOC(=O)CCCCCN,10.37
NNC(=O)C(N)Cc1ccccc1,7.06
CN1CCN(C)c2cccc3cccc1c23,4.62
CN1CCCC1c1ccccc1,8.8
SCc1ncc[nH]1,6.37
CC(=O)Nc1cccc2cc3ccccc3nc12,3.0
CCOc1ccc2ccc(OCC)c(N3CCOCC3)c2c1N1CCOCC1,12.5
NCCCCCCN,10.565
Cc1cc2nc[nH]c2cc1C,6.04
Cc1ccc(S(=O)(=O)NCCC(=N)N)cc1,10.8
O=[N+]([O-])c1ccc(C=Cc2nnnn2-c2ccc([N+](=O)[O-])cc2)cc1,-3.15
COc1ccc([N+](=O)[O-])cc1C(=O)NC1CC2CCC(C1)N2Cc1ccccc1,8.7
NCCCN,10.55
Cc1cccc(C(C)c2c[nH]cn2)c1C,7.04
CCOC(=O)CC(c1ccccc1)N(C)C,7.66
CC1(C)OC(=O)CC2C(C(=O)O)NCC21,9.0
CCOC(=O)CN,7.74
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,3.53
C=CC1(O)CN2CCC1CC2C(O)c1cc(=O)[nH]c2ccccc12,7.65
O=c1cnc2ccccc2[nH]1,9.1
Cc1ccc(-c2cnc(-c3ccccc3)o2)cc1,0.91
CC(C)c1cccnc1,5.72
CC1(C)SC2C(C(=O)O)N=C(CCCC(N)C(=O)O)N2C1C(=O)O,10.3
COc1nc(=O)cc(C)[nH]1,8.4
Nc1cccc(-c2ccccc2)c1,4.28
CN(C)Cc1c(C(C)(C)C)cccc1C(C)(C)C,9.2
CN(C)Cc1ccc(NC(=O)C=NO)cc1,9.56
Cc1cc(C)c(CO)c(C)n1,7.1
O=c1o[nH]c2c1CCN(Cc1ccccc1)CC2,8.0
c1cnc2[nH]cnc2c1,3.95
COC(=O)c1ccccn1,2.21
Brc1cnc2c(ccc3cc(Br)cnc32)c1,3.9
Cc1ccc(N2CCCC2)cc1,4.69
CN(C)CCCCC(=O)Oc1ccccc1,10.0
